signal_time,coin,mult,chg_at_signal,label,ob_buy_ratio,ob_depth,ask_krw,bid_krw,spread_pct
2026-06-30 18:11:11,POWR,156,-14.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,AGLD,102,-0.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,TAIKO,88,+1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ZRC,69,+10.30,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,CARV,65,+0.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,HUNT,53,-4.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ELF,51,-8.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,G,49,-6.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,BICO,37,+0.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MLK,28,-0.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,ALICE,24,-8.60,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:11:11,MAGIC,23,-4.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,CSPR,211,+0.10,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MANTA,173,-20.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,POWR,151,-12.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,AGLD,90,+9.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,TAIKO,88,+1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ZRC,70,+8.60,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,CARV,66,+0.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,HUNT,53,-3.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,G,48,-7.40,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ELF,42,-7.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,BICO,37,+0.70,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MLK,28,-0.40,중립,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,MAGIC,22,-4.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 18:41:15,ALICE,22,-7.20,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,CSPR,208,+11.90,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,MANTA,171,-19.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:18,POWR,147,-13.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,AGLD,91,+8.30,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,TAIKO,89,-1.50,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,ZRC,70,+10.50,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,CARV,67,-1.00,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,HUNT,53,-7.50,매집?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,G,47,-11.10,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,ELF,41,-7.80,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,BICO,37,+0.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,MLK,27,-1.20,중립,0.500,+0.000,0,0,0.0000
2026-06-30 19:11:19,MAGIC,21,-4.70,던짐?,0.500,+0.000,0,0,0.0000
2026-06-30 19:41:22,CSPR,206,+12.90,매집?,0.500,+0.000,0,0,0.0000
