time,coin,surge,val_24h_eok,chg_24h,spread_pct,depth_imb,bid_wall,ask_wall,buy_ratio
2026-07-01 13:26:35,ZRC,23.1,17,-13.7,0.2043,-0.0818,0.2317,0.1978,0.2376
2026-07-01 13:29:37,QKC,30.1,5,-2.9,0.0348,0.0619,0.3695,0.6933,0.6592
2026-07-01 13:41:49,GLM,48.0,18,+8.8,0.627,-0.079,0.443,0.3117,0.3211
2026-07-01 13:56:59,CSPR,212.2,96,-3.0,1.289,0.2281,0.1682,0.3726,0.5861
2026-07-01 13:56:59,TAIKO,161.8,85,+2.3,0.5666,0.5088,0.572,0.2474,0.513
2026-07-01 13:56:59,MANTA,85.0,39,-5.5,0.2081,-0.48,0.2621,0.2476,0.6268
2026-07-01 13:56:59,CARV,70.3,15,-0.3,0.0372,-0.3384,0.5037,0.188,0.4616
2026-07-01 13:56:59,POWR,35.6,8,-8.8,0.5125,-0.2233,0.1827,0.3402,0.4296
2026-07-01 13:56:59,BICO,31.5,15,-16.2,0.3762,0.3,0.436,0.1255,0.4864
2026-07-01 13:56:59,ELF,20.8,2,-1.6,1.0936,-0.2511,0.2826,0.3032,0.3464
2026-07-01 13:56:59,ZRC,20.3,15,-13.2,0.8781,-0.2857,0.3073,0.3183,0.2673
2026-07-01 14:00:01,QKC,30.4,5,-2.9,1.247,-0.1086,0.3548,0.3761,0.5612
2026-07-01 14:12:10,GLM,47.8,18,+6.8,0.627,-0.1566,0.4434,0.3258,0.3654
2026-07-01 14:27:19,CSPR,211.2,96,-0.9,0.6942,-0.3236,0.323,0.5372,0.4769
2026-07-01 14:27:19,TAIKO,161.2,84,+5.9,0.5602,0.0464,0.3268,0.1693,0.3824
2026-07-01 14:27:19,MANTA,83.5,38,-4.4,0.0523,-0.2219,0.3113,0.2207,0.2098
2026-07-01 14:27:19,CARV,69.7,15,+0.5,0.3515,0.0736,0.29,0.2221,0.4241
2026-07-01 14:27:19,POWR,34.5,8,-8.5,0.3651,-0.5734,0.2213,0.276,0.4692
2026-07-01 14:27:19,BICO,30.7,14,-18.1,0.2949,0.2749,0.4978,0.1412,0.39
2026-07-01 14:30:21,QKC,30.4,5,-1.7,1.1389,-0.2199,0.1768,0.4129,0.325
2026-07-01 14:42:29,GLM,47.9,18,+8.2,0.6309,-0.1772,0.636,0.2341,0.6001
2026-07-01 14:57:38,CSPR,210.7,95,-4.5,0.7339,0.7123,0.1797,0.3402,0.7672
2026-07-01 14:57:38,TAIKO,164.7,86,+11.5,0.545,-0.3759,0.2196,0.5696,0.3544
2026-07-01 14:57:38,MANTA,82.9,38,-7.9,0.0211,-0.5285,0.3386,0.3161,0.2104
2026-07-01 14:57:38,CARV,70.2,15,-1.0,0.2439,0.1693,0.244,0.2615,0.3328
2026-07-01 14:57:38,POWR,33.4,7,-8.1,0.1834,-0.5777,0.3057,0.3073,0.6819
2026-07-01 14:57:38,BICO,30.0,14,-18.9,0.3367,0.0719,0.3326,0.2232,0.6449
2026-07-01 15:00:40,QKC,30.5,5,+0.2,0.5457,-0.426,0.1581,0.4239,0.5979
2026-07-01 15:12:48,GLM,48.2,18,+8.2,0.6349,-0.2525,0.4707,0.2081,0.5768
2026-07-01 15:27:57,CSPR,210.3,95,-6.7,0.3524,0.178,0.3814,0.8796,0.8891
2026-07-01 15:27:57,TAIKO,166.8,87,+3.5,0.5634,0.1793,0.1685,0.1963,0.5961
2026-07-01 15:27:57,MANTA,84.5,39,-8.8,0.2029,-0.6981,0.1926,0.2807,0.4046
2026-07-01 15:27:57,CARV,69.3,15,-4.2,0.4558,-0.7703,0.301,0.2072,0.9603
2026-07-01 15:27:57,POWR,32.3,7,-8.0,0.4601,-0.7338,0.3694,0.3057,0.4366
2026-07-01 15:27:57,BICO,28.9,14,-16.4,0.2986,-0.1291,0.651,0.1164,0.6016
2026-07-01 15:30:59,QKC,30.3,5,+1.1,0.3772,-0.2012,0.3234,0.584,0.4686
2026-07-01 15:43:07,GLM,48.4,18,+7.5,0.6349,-0.3858,0.5433,0.329,0.4824
2026-07-01 15:58:18,CSPR,178.9,81,-29.6,0.387,-0.4784,0.2141,0.4398,0.3979
2026-07-01 15:58:18,TAIKO,175.6,92,+22.1,0.5195,0.3425,0.1839,0.1868,1.0
2026-07-01 15:58:18,MANTA,85.7,39,-9.7,0.097,-0.3927,0.4109,0.2552,0.6854
2026-07-01 15:58:18,CARV,69.8,15,-4.4,0.3639,-0.4852,0.3383,0.1983,0.5131
2026-07-01 15:58:18,POWR,31.0,7,-8.9,0.4914,-0.4789,0.2668,0.2723,0.2669
2026-07-01 15:58:18,BICO,28.9,14,-17.3,0.1716,-0.0181,0.5551,0.1168,0.3909
2026-07-01 16:01:19,QKC,29.8,5,+1.9,0.8593,0.0346,0.6273,0.5883,0.4793
2026-07-01 16:13:27,GLM,48.6,18,+6.8,0.6431,-0.4556,0.3974,0.2287,0.3948
2026-07-01 16:28:37,TAIKO,177.9,93,+25.2,0.545,0.2426,0.1402,0.174,0.263
2026-07-01 16:28:37,CSPR,116.4,53,-40.9,1.339,-0.5489,0.172,0.2917,0.812
2026-07-01 16:28:37,MANTA,84.8,39,-8.5,0.2166,-0.3949,0.2082,0.2053,0.5271
2026-07-01 16:28:37,CARV,56.2,12,-6.5,0.4951,-0.49,0.4075,0.2229,0.4492
2026-07-01 16:28:37,POWR,30.3,7,-8.1,0.4126,-0.3195,0.1999,0.3009,0.3699
2026-07-01 16:28:37,BICO,28.4,13,-17.1,0.3847,0.0298,0.421,0.1259,0.3443
2026-07-01 16:31:43,QKC,30.1,5,-0.6,0.5912,-0.6562,0.2366,0.3677,0.1693
2026-07-01 16:43:53,GLM,48.5,18,+6.2,0.6431,-0.3131,0.3877,0.2974,0.3336
2026-07-01 16:59:02,TAIKO,184.1,96,+31.4,0.545,0.09,0.1783,0.2024,0.308
2026-07-01 16:59:02,MANTA,83.8,38,-8.5,0.0108,-0.5957,0.2856,0.3052,0.5808
2026-07-01 16:59:02,CSPR,75.5,34,-18.4,0.8052,-0.0181,0.1755,0.4519,0.6252
2026-07-01 16:59:02,CARV,49.1,11,-5.8,0.36,-0.4434,0.3578,0.1515,0.3934
2026-07-01 16:59:02,BICO,30.1,14,-19.2,0.3909,-0.8248,0.4214,0.2906,0.715
2026-07-01 16:59:02,POWR,29.2,6,-8.2,0.0762,-0.4765,0.1899,0.3069,0.4028
2026-07-01 17:02:04,QKC,29.5,5,+0.2,0.9351,-0.503,0.3132,0.4032,0.2123
2026-07-01 17:14:12,GLM,48.3,18,+5.4,0.6431,-0.3001,0.415,0.2933,0.2248
2026-07-01 17:29:21,TAIKO,191.8,100,+36.5,0.5391,0.1065,0.1341,0.1745,0.227
2026-07-01 17:29:21,MANTA,83.3,38,-10.4,0.0984,-0.1809,0.1846,0.2515,0.4746
2026-07-01 17:29:21,CSPR,63.6,29,-12.7,0.8879,-0.2007,0.2994,0.4502,0.3323
2026-07-01 17:29:21,CARV,45.6,10,-4.8,0.1523,-0.7781,0.3851,0.1844,0.8169
2026-07-01 17:29:21,BICO,29.9,14,-20.5,0.3472,0.2299,0.4979,0.3709,0.5651
2026-07-01 17:29:21,POWR,28.4,6,-8.3,0.2916,-0.433,0.2183,0.3038,0.3861
2026-07-01 17:32:23,QKC,27.9,5,-1.7,1.0449,-0.3385,0.293,0.6159,0.4426
2026-07-01 17:44:31,GLM,47.4,18,+4.0,0.6472,-0.4618,0.5448,0.2728,0.1616
2026-07-01 17:59:40,TAIKO,195.8,103,+31.2,0.551,0.2558,0.1782,0.2698,0.2402
2026-07-01 17:59:40,MANTA,83.4,38,-9.9,0.033,-0.6102,0.6294,0.3218,0.1339
2026-07-01 17:59:40,CSPR,56.2,25,-7.7,0.4284,-0.2519,0.2902,0.3755,0.5616
2026-07-01 17:59:40,CARV,44.2,10,-4.0,0.2087,-0.6248,0.4681,0.2125,0.634
2026-07-01 17:59:40,BICO,30.5,14,-19.7,0.2176,-0.0734,0.3866,0.2498,0.2986
2026-07-01 17:59:40,POWR,26.3,6,-7.8,0.1851,-0.2733,0.135,0.4347,0.2486
2026-07-01 18:02:42,QKC,27.7,5,-3.0,0.349,-0.5671,0.285,0.315,0.7841
2026-07-01 18:14:49,GLM,47.4,18,+4.0,0.6472,-0.4273,0.5069,0.2521,0.065
2026-07-01 18:29:58,TAIKO,198.3,104,+33.6,0.5362,0.3161,0.6884,0.1383,0.6399
2026-07-01 18:29:58,MANTA,83.7,38,-10.1,0.2978,-0.4272,0.1923,0.2681,0.1197
2026-07-01 18:29:58,CSPR,51.2,23,-12.7,0.036,-0.6103,0.2986,0.7151,0.9601
2026-07-01 18:29:58,CARV,43.5,9,-3.6,0.2467,-0.7654,0.3557,0.1666,0.7567
2026-07-01 18:29:58,BICO,30.5,14,-20.1,0.3498,-0.0712,0.1573,0.3782,0.3222
